Villains Academy
Villains Academy,November
Sam,25,M,198,England,true,November,true,2888881
Darth Vader,N/A,N/A,N/A,N/A,N/A,November,true,3491685
Dr. Hannibal Lecter,N/A,N/A,N/A,N/A,N/A,November,true,9191115
Nurse Ratched,N/A,N/A,N/A,N/A,N/A,November,true,9999350
Michael Corleone,N/A,N/A,N/A,N/A,N/A,November,true,5102033
Alex DeLarge,N/A,N/A,N/A,N/A,N/A,November,true,0395905
Villains Academy,December
The Wicked Witch of the West,N/A,N/A,N/A,N/A,N/A,December,true,4440095
Terminator,N/A,N/A,N/A,N/A,N/A,December,true,5317805
Freddy Krueger,N/A,N/A,N/A,N/A,N/A,December,true,3121324
Joffrey Baratheon,N/A,N/A,N/A,N/A,N/A,December,true,3121456
Norman Bates,N/A,N/A,N/A,N/A,N/A,December,true,9349275
The Joker,N/A,N/A,N/A,N/A,N/A,December,true,2836492
